,ADF_p,Stationary,Shapiro_p,Jarque_Bera_p,Normal,RESET_p,Linear,Durbin_Watson,LjungBox_p,No_Autocorrelation
CO(GT),3.43909763232285e-13,True,5.3639647154137415e-74,0.0,False,0.05952895732491545,True,0.4151961045814799,0.0,False
PT08.S1(CO),7.915400860541557e-20,True,1.1798415908611941e-55,0.0,False,0.44243751956031707,True,0.042224429186990535,0.0,False
NMHC(GT),1.9866983270305565e-18,True,1.3500220382493907e-79,0.0,False,0.0009038700138166905,False,0.10263366739388378,0.0,False
C6H6(GT),1.406368695938547e-15,True,1.1446888578223702e-77,0.0,False,8.675704136584078e-10,False,0.2849688032642855,0.0,False
PT08.S2(NMHC),2.846099122809887e-21,True,1.5655108054282952e-41,0.0,False,0.008367348390312376,False,0.07061046798544098,0.0,False
NOx(GT),3.9105274615510215e-12,True,3.078798914824841e-37,3.0883652988834832e-74,False,1.4279481266215717e-45,False,0.36006674692056506,0.0,False
PT08.S3(NOx),1.4026254540198095e-21,True,1.3176380976882862e-42,0.0,False,1.5244265083459478e-32,False,0.06548973485256798,0.0,False
NO2(GT),1.3859727004025766e-17,True,1.866766911868145e-56,4.780760750139647e-165,False,2.469757924342646e-32,False,0.46821942869472377,0.0,False
PT08.S4(NO2),1.4045377611782655e-12,True,1.3267062348543444e-45,0.0,False,5.27862115144896e-18,False,0.03692044859338389,0.0,False
PT08.S5(O3),1.5708114004633552e-19,True,2.8785852837301286e-25,6.548993610605781e-23,False,3.963082934574083e-05,False,0.09368831941015171,0.0,False
T,1.051443475024784e-13,True,1.3099717733560081e-76,0.0,False,1.1366899164582229e-17,False,0.2580030487685646,0.0,False
RH,1.3343554449492079e-15,True,2.101320454701047e-72,0.0,False,1.1604861706297952e-05,False,0.197425737079947,0.0,False
AH,2.449331981582387e-15,True,2.0443359291001576e-81,0.0,False,3.1341255788474285e-11,False,0.25928513524260316,0.0,False
