,ADF_p,Stationary,Shapiro_p,Jarque_Bera_p,Normal,RESET_p,Linear,Durbin_Watson,LjungBox_p,No_Autocorrelation
p (mbar),1.035961753617102e-12,True,1.4482659116050318e-54,0.0,False,5.958772004917448e-05,False,1.0283619970194855e-08,0.0,False
T (degC),2.1485277355869223e-13,True,4.8571592956884485e-59,0.0,False,0.0,False,0.00037224013805307985,0.0,False
Tpot (K),1.8799618641174533e-13,True,5.018771999481445e-53,1.0227307359581328e-269,False,0.0,False,8.070420286181925e-07,0.0,False
Tdew (degC),1.1393971043149994e-08,True,9.782065580250006e-46,2.193808321396073e-110,False,0.0,False,0.0006481467277869215,0.0,False
rh (%),8.042519204906963e-30,True,9.27655964625268e-79,0.0,False,0.0,False,0.00032045618186596727,0.0,False
VPmax (mbar),6.30583482662914e-16,True,9.421108936176234e-100,0.0,False,0.0,False,0.0003375830604183121,0.0,False
VPact (mbar),7.39484621116762e-08,True,3.023959925283339e-83,0.0,False,0.0,False,0.0002136100799430108,0.0,False
VPdef (mbar),1.6601746935080982e-29,True,3.273018355917182e-120,0.0,False,0.0,False,0.0022501286287850823,0.0,False
sh (g/kg),6.582382732123011e-08,True,1.812718884138468e-83,0.0,False,0.0,False,0.00021597365283431834,0.0,False
H2OC (mmol/mol),6.64958325395635e-08,True,3.505668533751041e-83,0.0,False,0.0,False,0.00021326475096049226,0.0,False
rho (g/m**3),3.2602942781666745e-12,True,2.356421657393695e-34,3.3599855013922436e-121,False,0.0,False,8.172096367581053e-07,0.0,False
wv (m/s),0.0,True,2.796125750325373e-165,0.0,False,0.700935874339059,True,1.9934601796894638,0.9999729743392834,True
max. wv (m/s),0.0,True,5.821345744587871e-100,0.0,False,2.6421114068021375e-116,False,0.0453114299437237,0.0,False
wd (deg),2.3172251249632744e-30,True,2.0048750621554053e-87,0.0,False,1.211059069970267e-202,False,0.11343167217031974,0.0,False
rain (mm),0.0,True,3.9640072621052436e-163,0.0,False,9.014533934118903e-09,False,0.6238432226456178,0.0,False
raining (s),0.0,True,1.8557505266421205e-156,0.0,False,4.577083271139422e-09,False,0.2663652543636961,0.0,False
SWDR (W/m�),0.0,True,1.628770469527877e-130,0.0,False,0.0,False,0.05442748730723852,0.0,False
PAR (�mol/m�/s),0.0,True,4.584530058713657e-130,0.0,False,0.0,False,0.051139420480202376,0.0,False
max. PAR (�mol/m�/s),0.0,True,2.849253653512662e-136,0.0,False,0.0,False,0.2817316982594769,0.0,False
Tlog (degC),6.3737179575218e-14,True,1.086791590423751e-69,0.0,False,0.0,False,8.342089625575072e-05,0.0,False
OT,0.0,True,1.6075222524466928e-164,0.0,False,0.044487484017692806,False,0.029480285194259968,0.0,False
